Date,Open,High,Low,Close
2019-12-11,15.0181,15.2323,14.9676,15.1459
2019-12-12,15.1546,15.369,15.0829,15.1521
2019-12-13,15.1354,15.266,15.0703,15.2449
2019-12-16,15.2389,15.3341,15.1941,15.289
2019-12-17,15.2961,15.3412,15.2079,15.2585
2019-12-18,15.2546,15.3355,15.1904,15.3103
2019-12-19,15.3037,15.3947,15.1819,15.3386
2019-12-20,15.3417,15.5686,15.3176,15.5114
2019-12-23,15.5174,15.7414,15.5079,15.7362
2019-12-24,15.7256,16.0443,15.6697,16.0427
2019-12-26,16.0126,16.2699,15.9761,16.1319
2019-12-27,16.1372,16.1546,15.8804,15.8825
2019-12-30,15.9122,16.0361,15.8923,16.0101
2019-12-31,15.9969,16.2004,15.8758,15.9216
2020-01-02,15.9194,16.1919,15.8573,16.1296
2020-01-03,16.1326,16.3812,16.1171,16.1445
2020-01-06,16.2711,16.5813,16.1097,16.2126
2020-01-07,16.2005,16.5439,16.0351,16.5067
2020-01-08,16.5078,16.8944,16.2527,16.2994
2020-01-09,16.3034,16.379,16.0243,16.1187
2020-01-10,16.1254,16.3297,16.0691,16.2561
2020-01-13,16.2837,16.2917,16.1051,16.1302
2020-01-14,16.1369,16.1376,15.8763,15.995
2020-01-15,15.9887,16.1752,15.9344,16.1487
2020-01-16,16.1396,16.1808,16.0258,16.1109
2020-01-17,16.1172,16.3593,16.0805,16.2449
2020-01-20,16.2659,16.3354,16.22,16.283
2020-01-21,16.2781,16.3691,15.8779,16.05
2020-01-22,16.0606,16.1793,15.9637,16.0789
2020-01-23,16.0867,16.1781,15.8765,16.1031
2020-01-24,16.1093,16.4572,16.057,16.4311
2020-01-27,16.5543,16.6339,16.3864,16.4262
2020-01-28,16.4169,16.4445,15.8314,15.8491
2020-01-29,15.8416,15.9778,15.7861,15.9499
2020-01-30,15.9578,16.3517,15.9318,16.1674
2020-01-31,16.1731,16.3362,16.1054,16.2588
2020-02-03,16.3541,16.3541,15.9279,15.9871
2020-02-04,15.9931,16.1,15.8762,15.9279
2020-02-05,15.9342,16.0628,15.8625,16.0105
2020-02-06,16.0183,16.2625,15.9993,16.2254
2020-02-07,16.2327,16.271,16.0958,16.1772
2020-02-10,16.1908,16.3466,16.1524,16.2863
2020-02-11,16.2946,16.3269,16.0992,16.1689
2020-02-12,16.1657,16.1881,16.0072,16.0835
2020-02-13,16.0818,16.3594,16.0761,16.2817
2020-02-14,16.2786,16.409,16.2596,16.3605
2020-02-17,16.3608,16.5084,16.3293,16.4156
2020-02-18,16.4252,16.8898,16.417,16.8369
2020-02-19,16.8414,17.0819,16.8228,17.0606
2020-02-20,17.0568,17.0787,16.8776,17.0308
2020-02-21,17.0349,17.2382,17.0114,17.0521
2020-02-24,17.2392,17.4696,17.094,17.1756
2020-02-25,17.1834,17.202,16.413,16.5441
2020-02-26,16.5348,16.7404,16.3947,16.4645
2020-02-27,16.4584,16.6329,16.0317,16.1605
2020-02-28,16.1435,16.2481,14.9118,15.0545
2020-03-02,14.964,15.4438,14.8569,15.0332
2020-03-03,15.0035,15.6116,15.0035,15.4122
2020-03-04,15.387,15.5328,15.3557,15.4632
2020-03-05,15.4755,15.5834,15.3713,15.5156
2020-03-06,15.5288,15.6275,15.0904,15.3264
2020-03-09,15.4291,15.4323,14.541,14.882
2020-03-10,14.794,15.1362,14.7776,14.9621
2020-03-11,14.9888,15.1123,14.7918,14.8878
2020-03-12,14.8948,15.0117,13.9802,14.1723
2020-03-13,14.1267,14.2751,13.0468,13.2344
2020-03-16,13.262,13.337,10.3777,11.4642
2020-03-17,11.5904,12.0013,10.9543,11.4959
2020-03-18,11.5641,11.7232,10.6734,10.9549
2020-03-19,10.9704,11.4779,10.8423,11.3697
